论坛当日访问用户数（UV）,_forum_uv
单元,_Unit
当日,
当前,
当天,_Today
当月,_Monly
档案,_Doc
导入,_Import
到达,_Arrv
可达,_Arrv
到单,_Arrv_Bil
到货,_Ship_To
到期,_End
到账,_Rcv
登记,_Reg
等待,_Wait
等额,_Equal
等级,_Rank
等价,_Eqv
抵押,_Impawn
底盘,_Underpan
地域,_Area
地点,_Loc
地理,_Geo
地面,_Ground
地区,_Zone
地税,_Local_Tax
会话,_Session
地位,_Station
地址,_Addr
递延,_Defer
递增,_Inc
第一,_First
第二,_Second
第三,_Third
二级,_Second
三级,_Third
四级,_Fourth
五级,_Fifth
六级,_Sixth
点差,_Spread
点击,_Click
点数,_Point
电报,_Telex
电话,_Tel
电文,_Teleg
电子,_e
垫付,_Adv
垫款,_Adv
掉期,_Swap
订单,_Order
价值,_Val
定价,_Pricing
定量,_Quantify
定期,_Time_Dep
定时,_Timing
定位,_Orient
定义,_Define
定制,_Custmz
丢失,_Lost
动户,_Chg_Acct
动态,_Dynamic
动作,_Action
冻结,_Frozen
度量,_Metric
短期,_Short
短缺,_Lack
短信,_Sms
对冲,_Hedging
对方,_Oppo
对公,_Corp
对手,_Cntrpty
对私,_Indv
对象,_Obj
对账,_Recnclt
对照,_Map
兑付,_Cash
兑换,_Xch
多方,_Long
多头,_Long
多次,_Repeatedly
对应,_To
额度,_Lmt
额外,_Extra
二次,_Sec
发报,_Snd
发出,_Snd
发放,_Issue
发行,_Publish
发货,_Ship_From
发卡,_Issue
发票,_Invoice
发起,_Init
发生,_Occur
发送,_Snd
罚息,_Pny_Int
罚金,_Pny
法定,_Legal
法人,_LP
法庭,_Court
法院,_Court
法律,_Law
反馈,_Feedback
反诉,_Cntrchrg
返还,_Retn
归还,_Retn
返回,_Resp
返售,_Resale
犯罪,_Delict
范围,_Scope
方案,_Proposal
方法,_Method
方式,_Mode
方向,_Dir
房产,_House
房东,_Landlord
房屋,_Bldg
访问,_Access
放大,_Magnify
放款,_Loan_Issue
放弃,_Give_Up
费率,_Fee_Rate
费用,_Cost
分层,_Lvl
分档,_Segment
分段,_Segment
分发,_Dlv
分行,_Branch
分红,_Divi
分类,_Class
分录,_Entries
分配,_Alloc
分期,_Istlm
分摊,_Apport
分析,_Anl
分销,_Distb
分项,_Sub
份额,_Shr
份数,_Shr
风格,_Style
风险,_Risk
封锁,_Lock
服务,_Service
浮动,_FloatF
符号,_Symb
辅币,_Fractional
辅助,_Assist
父母,_Parent
父姓,_Paternal_Surname
付方,_Payer
付费,_Pay
支付,_Pay
付汇,_Remit
付款,_Pay
付清,_Paidoff
付息,_Pay_Int
负数,_Negat
负债,_Liab
附加,_Addi
附件,_Accessory
附卡,_Scdy_Card
附属,_Addi
附言,_Postsc
复核,_Chk
复利,_Compd_Int
数量,s
副本,_Copy
覆盖,_Cover
购汇,_FEP
改变,_Chg
改单,_Update_Doc
改进,_Improve
改证,_LC_Update
概率,_Problt
港币,_Hkd
港口,_Port
格式,_Format
个人,_Indv
个数,_Qty
个贷,_Ploan
跟单,_Doc
跟踪,_Trace
更新,_Update
工程,_Proj
工单,_Work_Form
工号,_Job_Num
工具,_Instr
工商,_Indu_Cml
工资,_Salary
工作,_Work
公共,_Pub
公开,_Pub
公式,_Formula
公司,_Corp
公用,_Pub
公允,_Fair
功率,_Power
功能,_Func
共享,_Shr
共有,_Common
贡献,_Contribute
供应,_Supply
构造,_Stru
购买,_Purch
购入,_Purch
评估,_Est
估值,_Evaluate
估价,_Evaluate
股本,_Shr
股东,_Shrholder
股份,_Shr
股票,_Stock
股权,_Equity
固定,_Fixed
故障,_Fault
雇佣,_Employ
雇主,_Employer
挂钩,_Lnk
挂起,_Hang
挂失,_Loss
挂盘,_Pending
关闭,_Close
关账,_Close
关机,_Shutdown
关联,_Assoc
关系,_Rela
关注,_Care
观察,_Obsrv
管理,_Mgmt
冠字,_Cap
广告,_Adv
归并,_Merge
归档,_Archive
归集,_Gather
归属,_Blng
规定,_Apnt
规格,_Specfc
规模,_Size
规则,_Rule
轨迹,_Track
柜面,_Cnter
柜台,_Cnter
柜员,_Teller
滚存,_Roll
滚动,_Roll
国标,_GB
国别,_Cty
国籍,_Nation
国际,_Intl
国家,_Country
国结,_Ist
国库,_Treasury
国内,_Domesa
国税,_Nation_Tax
国外,_Ovsea
国债,_Nation_Debt
国民,_Nat
过渡,_Transition
过户,_Tfr
过期,_Overdue
过桥,_Bridge
过账,_Posting
供养,_Raise
岗位,_Post
核准,_Check
还款,_Repay
还原,_Restore
海关,_Customs
海外,_Ovsea
户口,_Residence
行动,_Behav
行号,_Num
屏幕,_Screen
大小,_Size
电池,_Battery
容量,_Volume
行权,_Exercise
行为,_Behv
行政,_Admn
毫秒,_Msec
号码,_Num
合法,_Right
合格,_Eligible
合规,_Compliance
合计,_Sum
合同,_Ctr
合约,_Ctr
合作,_Co
和解,_Compromise
核保,_Underwrite
核算,_Stl
核销,_Write_Off
核心,_BCS
红利,_Divi
后台,_Back
呼叫,_Call
呼入,_Incoming
忽略,_Ignore
互保,_Mutual_Guar
互换,_Swap
户籍,_Reg_Reside
护照,_Passport
花旗,_Citi
划款,_Tfr
华夏,_HXB
坏账,_Baddebt
环境,_Env
环球,_Global
缓释,_Release
换卡,_Chg_Card
黄金,_Gld
恢复,_Resume
回复,_Reply
回购,_Buyback
回收,_Recover
回执,_Recpt
汇出,_Remit_Out
汇兑,_Exchange
汇款,_Remit
汇率,_Exch_Rate
汇票,_Bil
汇入,_Remit_In
汇总,_Sum
加工,_Calc
加总,_Total
加权,_Wght
会计,_Accting
会员,_Membr
惠誉,_Fitch
婚姻,_Marriage
混合,_Mixed
活动,_Actvy
活跃,_Active
活期,_Saving
伙伴,_Partner
或有,_Off
货币,_Ccy
货物,_Goods
获取,_Obtain
机构,_Org
机关,_Org
机具,_Machine
机械,_Machine
机器,_Machine
积分,_Pts
积累,_Accum
积数,_Accum
基本,_Base
基础,_Base
基金,_Fund
基期,_Bas_Per
基数,_Base
基准,_Base
激活,_Active
及时,_Intime
级别,_Level
即期,_Spot
近端,_Stminl
即时,_Instant
集团,_Grp
集中,_Concentration
计划,_Plan
计价,_Valt
计量,_LNA
计算,_Cal
计息,_Int
记录,_Rec
记账,_Biling
技能,_Skill
技术,_Tech
季度,_Qtr
季均,_Qavg
寄单,_Post_Doc
加密,_Encry
加入,_Join
加载,_Load
下载,_Down
家访,_Visit
家庭,_Family
假日,_Holiday
成交,_Barg
价格,_Price
架构,_Stru
间隔,_Interval
间接,_Indirect
监管,_Regulate
监护,_Custody
监控,_Monitor
检查,_Chk
检索,_Rtrv
减除,_Reduce
减额,_Reduce
减价,_Reduce
减免,_Derate
减少,_Reduce
减值,_Deval
简称,_Short_Name
简单,_Simple
建成,_Complt
建立,_Create
建设,_Constru
建议,_Proposal
建筑,_Bldg
键盘,_Keyboard
奖金,_Bonus
降级,_Degrade
交单,_Present
交付,_Dlv
交割,_Dlv
交换,_Xch
交收,_Dlv
交易,_Txn
交叉,_Cros
角色,_Role
缴费,_Pay
阶段,_Phase
接收,_Rcv
揭示,_Reveal
街道,_Street
节点,_Node
结构,_Stru
结果,_Result
结论,_Concls
结清,_Setl
结束,_End
结算,_Stl
结息,_Int_Setl
结转,_Carry_Fwd
截止,_End
解冻,_Unfrozen
解付,_Solu_Pay
解挂,_Unloss
解汇,_Solu_Remit
解释,_Explain
解押,_Release_Impawn
解约,_Cancel_Contract
介质,_Medium
界面,_Interface
借贷,_Db_Cr
借方,_Db
借记,_Db
借据,_Dbill
借款,_Brw
今日,_Today
金额,_Amt
金融,_Fin
紧急,_Urgent
进出,_In_Out
进口,_Im
进入,_Entering
禁止,_Forbid
经办,_Oper
经济,_Economy
经理,_Mgr
研发,_Dev
经营,_Oper
警戒,_warn
净值,_Nav
境内,_Domes
境外,_Ovsea
纠纷,_Dispute
久悬,_Sleep
